league,season,team,player,nation,pos,age,NINETIES,Performance_Gls,Performance_Ast,Performance_G+A,Performance_CrdY,Performance_CrdR,Standard_Sh,Standard_SoT,Standard_Sh/90,Standard_SoT/90,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Pass_Cmp,Pass_Att,Pass_CmpPct,Pass_PrgDist,Pass_Ast,Pass_KP,Pass_Final3rd,Pass_PPA,SCA90,GCA90,Touches,Carries,Carry_PrgDist,Carry_Final3rd,Carry_PPA
ENG-Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,30,31.3,5,4,9,8,1,39,16,1.25,0.51,44,28,1,18,46,47,,,,,4,,,,,,,,,,
ENG-Premier League,2425,Brentford,Edmond-Paris Maghoma,ENG,MF,23,1.3,0,0,0,0,0,1,0,0.76,0.0,2,4,0,3,1,1,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31,21.3,2,0,2,2,0,10,6,0.47,0.28,8,4,0,9,23,15,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brentford,Fabio Carvalho,POR,"FW,MF",21,5.1,2,1,3,1,0,12,6,2.37,1.19,5,10,1,10,3,9,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Brentford,Frank Onyeka,NGA,MF,26,0.3,0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brentford,Gustavo Nunes,BRA,MF,18,0.1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brentford,Hákon Valdimarsson,ISL,GK,22,1.6,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brentford,Igor Thiago,BRA,FW,23,1.9,0,0,0,0,0,2,0,1.03,0.0,3,3,1,2,1,3,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18,0.1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,MF",23,34.4,1,3,4,7,0,28,14,0.81,0.41,18,31,4,75,20,27,,,,,3,,,,,,,,,,
