PLAYER_NAME,PLAYER_POSITION,HEIGHT_IN,DRAFT_PICK
Chucky Brown,SF,80.0,73
Damone Brown,SG,80.0,66
Darius Brown,SG,74.0,61
Darrell Brown,SF,74.0,61
Dee Brown,SG,74.0,19
Dee Brown,SG,72.0,76
Derrick Brown,SF,80.0,70
Devin Brown,SG,77.0,61
Ernest Brown,C,84.0,82
Fred Brown,SG,75.0,6
George Brown,SF,78.0,117
Gerald Brown,SG,76.0,61
Harold Brown,SG,72.0,61
Jabari Brown,SG,77.0,61
Jaylen Brown,SG,78.0,3
John Brown,SF,79.0,10
Kedrick Brown,SG,79.0,11
Kendall Brown,SG,79.0,78
Kobe Brown,SF,79.0,30
Kwame Brown,C,83.0,1
Leon Brown,SF,75.0,61
Lewis Brown,C,83.0,159
Lorenzo Brown,SG,77.0,82
Marcus Brown,SG,75.0,76
Markel Brown,SG,75.0,74
Mike Brown,PF,82.0,129
Moses Brown,C,86.0,61
Myron Brown,SF,75.0,64
P.J. Brown,PF,83.0,59
Randy Brown,SG,74.0,61
Raymond Brown,SF,80.0,61
Rickey Brown,C,82.0,13
Roger Brown,C,83.0,154
Shannon Brown,SG,76.0,25
Stan Brown,SF,75.0,61
Sterling Brown,SG,77.0,76
Tierre Brown,SG,74.0,61
Tony Brown,SF,78.0,172
Greg Brown III,SF,79.0,73
Charlie Brown Jr.,SG,78.0,61
Chaundee Brown Jr.,SF,77.0,61
Troy Brown Jr.,SG,79.0,15
Jim Browne,C,82.0,61
Stanley Brundy,SF,78.0,62
Jalen Brunson,SG,74.0,63
Rick Brunson,SG,76.0,61
Nicolas Brussino,SF,80.0,61
Carter Bryant,SF,78.0,14
Elijah Bryant,SG,77.0,61
Emmette Bryant,SG,73.0,233
Joe Bryant,SF,82.0,14
Kobe Bryant,SF,78.0,13
Mark Bryant,SF,81.0,21
Thomas Bryant,PF,81.0,72
Wallace Bryant,C,84.0,60
Torgeir Bryn,SF,81.0,61
Shaq Buchanan,SG,75.0,61
Joe Buckhalter,SF,79.0,411
Steve Bucknall,SF,78.0,61
Cleveland Buckner,SF,81.0,201
Greg Buckner,SG,76.0,83
Quinn Buckner,SG,75.0,7
Dave Budd,SF,78.0,40
Chase Budinger,SF,79.0,74
Walter Budko,SF,77.0,6
Jud Buechler,SG,78.0,68
Kobe Bufkin,SG,76.0,15
Rodney Buford,SF,77.0,83
Matt Bullard,SF,82.0,61
Reggie Bullock Jr.,SG,78.0,25
Greg Bunch,SF,78.0,64
Dick Bunt,SG,72.0,61
Bill Buntin,C,79.0,61
Luther Burden,SG,74.0,56
Pat Burke,PF,83.0,61
Trey Burke,SG,72.0,9
Roger Burkman,SG,77.0,280
Alec Burks,SG,77.0,12
Antonio Burks,SG,72.0,66
Kevin Burleson,SG,75.0,61
Tom Burleson,C,86.0,3
Jack Burmaster,SG,75.0,61
David Burns,SG,74.0,109
Evers Burns,SF,80.0,61
Jim Burns,SG,75.0,124
Scott Burrell,SG,79.0,20
Art Burris,SF,77.0,61
Junior Burrough,SF,80.0,63
Bob Burrow,C,79.0,61
Deonte Burton,SG,76.0,61
Ed Burton,SF,78.0,61
Tyler Burton,SF,79.0,61
Willie Burton,SF,80.0,9
Steve Burtt,SG,74.0,60
Don Buse,SG,76.0,94
Brian Butch,C,83.0,61
Donnie Butcher,SG,74.0,240
Al Butler,SG,74.0,47
Caron Butler,SF,79.0,10
Da'Sean Butler,SF,79.0,72
Greg Butler,C,83.0,67
Jackie Butler,C,82.0,61
Jared Butler,SG,75.0,70
Mitchell Butler,SG,77.0,61
Rasual Butler,SF,79.0,82
Jimmy Butler III,SF,78.0,30
